hour_of_day,avg_temp
0,24.567241379310346
1,25.035555555555554
2,25.1104347826087
3,24.823653846153846
4,24.75651162790697
5,24.097631578947368
6,24.574761904761903
7,25.917954545454542
8,25.126249999999995
9,25.84279069767442
10,25.81725
11,25.715833333333332
12,25.542500000000004
13,24.954749999999997
14,25.759047619047617
15,25.074418604651164
16,25.708249999999992
17,25.920851063829797
18,25.164722222222224
19,25.59239130434782
20,24.321860465116277
21,26.201025641025645
22,26.286
23,25.198305084745762
